SurveyDate;ProductId;CustomerId;Rating;Comment;SourceId
2025-08-04;;;3;El envío fue normal, dentro del tiempo esperado.;
2025-08-28;;;3;El producto está bien, pero esperaba un poco más de calidad.;
2024-10-21;;;4;Excelente calidad, definitivamente volvería a comprar.;
2025-06-19;;;3;Ni malo ni excelente, simplemente regular.;
2025-08-15;;;2;El producto llegó dañado y no cumplió con lo prometido.;
2024-10-21;;;1;El producto llegó dañado y no cumplió con lo prometido.;
2024-10-25;;;4;Me encanta, es justo lo que necesitaba.;
2024-09-22;;;5;El servicio fue rápido y eficiente, estoy muy satisfecho.;
2025-08-15;;;4;Me encanta, es justo lo que necesitaba.;
2025-03-18;;;3;La experiencia fue aceptable, aunque podría mejorar.;
2025-06-02;;;4;El producto llegó en perfecto estado y antes de tiempo.;
2024-11-16;;;5;El producto llegó en perfecto estado y antes de tiempo.;
2025-07-09;;;5;Excelente calidad, definitivamente volvería a comprar.;
2024-10-16;;;4;El servicio fue rápido y eficiente, estoy muy satisfecho.;
2025-06-10;;;3;El producto cumple su función, nada especial.;
2024-09-26;;;1;El producto dejó de funcionar al poco tiempo de usarlo.;
2025-07-25;;;4;El servicio fue rápido y eficiente, estoy muy satisfecho.;
2025-09-14;;;2;El producto llegó dañado y no cumplió con lo prometido.;
2025-07-24;;;1;El producto dejó de funcionar al poco tiempo de usarlo.;
2025-06-27;;;1;El producto llegó dañado y no cumplió con lo prometido.;
2024-10-04;;;1;No era lo que esperaba, muy decepcionado.;
2025-04-29;;;3;La experiencia fue aceptable, aunque podría mejorar.;
2025-04-12;;;5;El producto llegó en perfecto estado y antes de tiempo.;
2025-03-28;;;3;El producto cumple su función, nada especial.;
2025-08-07;;;5;Me encanta, es justo lo que necesitaba.;
2025-01-15;;;5;Me encanta, es justo lo que necesitaba.;
2024-10-30;;;3;El producto está bien, pero esperaba un poco más de calidad.;
2024-12-25;;;3;La experiencia fue aceptable, aunque podría mejorar.;
2024-09-19;;;2;El producto llegó dañado y no cumplió con lo prometido.;
2024-10-09;;;4;Me encanta, es justo lo que necesitaba.;
2025-05-06;;;1;El producto dejó de funcionar al poco tiempo de usarlo.;
2025-07-02;;;4;El servicio fue rápido y eficiente, estoy muy satisfecho.;
2024-10-07;;;3;La experiencia fue aceptable, aunque podría mejorar.;
2025-01-06;;;3;Ni malo ni excelente, simplemente regular.;
2024-12-16;;;2;El producto dejó de funcionar al poco tiempo de usarlo.;
2024-11-18;;;4;El producto llegó en perfecto estado y antes de tiempo.;
2024-09-27;;;4;Me encanta, es justo lo que necesitaba.;
2025-06-25;;;3;Ni malo ni excelente, simplemente regular.;
2024-11-04;;;4;El producto llegó en perfecto estado y antes de tiempo.;
2025-09-08;;;5;Excelente calidad, definitivamente volvería a comprar.;
2024-09-26;;;4;El producto llegó en perfecto estado y antes de tiempo.;
2025-01-19;;;3;El producto está bien, pero esperaba un poco más de calidad.;
2024-09-19;;;3;Ni malo ni excelente, simplemente regular.;
2024-10-04;;;5;El producto llegó en perfecto estado y antes de tiempo.;
2024-10-13;;;3;El producto está bien, pero esperaba un poco más de calidad.;
2025-02-13;;;1;El producto llegó dañado y no cumplió con lo prometido.;
2025-08-21;;;3;El producto está bien, pero esperaba un poco más de calidad.;
2025-07-13;;;4;El producto superó mis expectativas, muy recomendable.;
2025-01-22;;;1;El servicio fue lento y el soporte no resolvió mi problema.;
2025-05-04;;;5;Excelente calidad, definitivamente volvería a comprar.;
2025-04-27;;;4;El producto llegó en perfecto estado y antes de tiempo.;
2025-05-09;;;4;El servicio fue rápido y eficiente, estoy muy satisfecho.;
2024-10-09;;;2;No era lo que esperaba, muy decepcionado.;
2025-04-11;;;1;El producto dejó de funcionar al poco tiempo de usarlo.;
2024-10-07;;;1;El producto dejó de funcionar al poco tiempo de usarlo.;
2025-09-07;;;3;Ni malo ni excelente, simplemente regular.;
2024-09-24;;;3;El envío fue normal, dentro del tiempo esperado.;
2025-08-08;;;5;Me encanta, es justo lo que necesitaba.;
2025-06-11;;;4;Excelente calidad, definitivamente volvería a comprar.;
2025-08-07;;;3;Ni malo ni excelente, simplemente regular.;
2024-11-01;;;3;Ni malo ni excelente, simplemente regular.;
2025-04-08;;;5;Me encanta, es justo lo que necesitaba.;
2024-09-18;;;3;El producto está bien, pero esperaba un poco más de calidad.;
2024-12-24;;;3;Ni malo ni excelente, simplemente regular.;
2025-03-03;;;3;El producto cumple su función, nada especial.;
2025-03-22;;;5;Me encanta, es justo lo que necesitaba.;
2025-06-06;;;2;El producto dejó de funcionar al poco tiempo de usarlo.;
2025-04-03;;;1;El producto llegó dañado y no cumplió con lo prometido.;
2025-04-11;;;1;El producto dejó de funcionar al poco tiempo de usarlo.;
2025-02-11;;;2;No era lo que esperaba, muy decepcionado.;
2024-11-23;;;3;Ni malo ni excelente, simplemente regular.;
2025-01-22;;;1;No era lo que esperaba, muy decepcionado.;
2025-01-02;;;3;Ni malo ni excelente, simplemente regular.;
2025-01-24;;;1;El producto dejó de funcionar al poco tiempo de usarlo.;
2025-05-06;;;1;El producto dejó de funcionar al poco tiempo de usarlo.;
2024-12-26;;;2;El producto dejó de funcionar al poco tiempo de usarlo.;
2025-06-27;;;1;Mala calidad, no lo recomiendo para nada.;
2025-07-24;;;2;El producto dejó de funcionar al poco tiempo de usarlo.;
2025-08-07;;;2;El producto llegó dañado y no cumplió con lo prometido.;
2025-04-26;;;2;No era lo que esperaba, muy decepcionado.;
2025-03-24;;;3;El envío fue normal, dentro del tiempo esperado.;
2024-09-17;;;4;Me encanta, es justo lo que necesitaba.;
2024-12-27;;;1;El producto llegó dañado y no cumplió con lo prometido.;
2025-03-29;;;4;Excelente calidad, definitivamente volvería a comprar.;
2025-01-12;;;1;El producto llegó dañado y no cumplió con lo prometido.;
2025-03-26;;;4;El producto superó mis expectativas, muy recomendable.;
2025-04-05;;;2;El producto llegó dañado y no cumplió con lo prometido.;
2025-01-28;;;4;El servicio fue rápido y eficiente, estoy muy satisfecho.;
2025-06-13;;;1;Mala calidad, no lo recomiendo para nada.;
2025-03-01;;;3;El producto está bien, pero esperaba un poco más de calidad.;
